Running profiling on 10 input numbers
274676.3463207198
         9617 function calls (9219 primitive calls) in 0.018 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
        1    0.000    0.000    0.000    0.000 threading.py:1347(Timer)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:1249(PlaceHolder)
        1    0.000    0.000    0.000    0.000 traceback.py:87(_Sentinel)
        1    0.000    0.000    0.000    0.000 __init__.py:1778(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1311(disable)
        1    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
        1    0.000    0.000    0.000    0.000 threading.py:279(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:486(BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1377(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:972(_set_ident)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
        1    0.000    0.000    0.000    0.000 threading.py:1176(daemon)
        1    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
        1    0.000    0.000    0.000    0.000 threading.py:803(<listcomp>)
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        1    0.000    0.000    0.000    0.000 threading.py:769(BrokenBarrierError)
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}


Running profiling on 100 input numbers
285577.23812068417
         12047 function calls (11649 primitive calls) in 0.017 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      101    0.011    0.000    0.011    0.000 {built-in method builtins.input}
    45/10    0.001    0.000    0.001    0.000 sre_parse.py:493(_parse)
      102    0.000    0.000    0.002    0.000 functions.py:20(__find_all_expressions_power_d)
        5    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
   106/10    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
       39    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
       35    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
      205    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      633    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
      650    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
      413    0.000    0.000    0.003    0.000 re.py:288(_compile)
      624    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
   119/23    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
     1210    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      530    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    31/10    0.000    0.000    0.001    0.000 sre_parse.py:435(_parse_sub)
 1094/979    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
     1157    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.011    0.011 profiling.py:14(get_input)
      101    0.000    0.000    0.002    0.000 functions.py:268(power)
      204    0.000    0.000    0.001    0.000 re.py:197(search)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       38    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      257    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        1    0.000    0.000    0.000    0.000 enum.py:442(__iter__)
        9    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      103    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      230    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
      247    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.003    0.003 __init__.py:1(<module>)
      102    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      103    0.000    0.000    0.000    0.000 re.py:232(findall)
       39    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      127    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       10    0.000    0.000    0.003    0.000 sre_compile.py:759(compile)
      102    0.000    0.000    0.000    0.000 re.py:222(split)
      112    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       10    0.000    0.000    0.000    0.000 sre_compile.py:536(_compile_info)
      120    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       55    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      9/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
      9/3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
